,year,state,n_victims
220,2017,New Jersey,938
221,2017,New Mexico,266
222,2017,New York,1439
223,2017,North Carolina,1709
224,2017,North Dakota,48
225,2017,Ohio,2217
226,2017,Oklahoma,633
227,2017,Oregon,269
228,2017,Pennsylvania,1823
229,2017,Rhode Island,90
230,2017,South Carolina,1186
231,2017,South Dakota,40
232,2017,Tennessee,1693
233,2017,Texas,2734
234,2017,Utah,180
235,2017,Vermont,20
236,2017,Virginia,1324
237,2017,Washington,582
238,2017,West Virginia,237
239,2017,Wisconsin,728
240,2017,Wyoming,22
